ParkName,State,Country,Adult,Child,partySize,RateType,BookingType,Equipment,BookingStartDate,BookingEnddate,Night,Permits
Battery,AB ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,8/1/2016,8/6/2016,5,1
Amherst Shore,BC ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,8/24/2016,8/25/2016,1,1
Graves Island,NS ,CANADA ,1,2,3,Full,CampsitePermit,Single Tent,9/16/2016,9/18/2016,2,1
Battery,QC ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,8/29/2016,8/30/2016,1,1
Laurie,NS ,CANADA ,6,,6,Full,CampsitePermit,Tents,7/23/2016,7/24/2016,1,1
Graves Island,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,8/17/2016,8/19/2016,2,1
Dollar Lake,NS ,CANADA ,2,4,6,Full,CampsitePermit,Tents,8/19/2016,8/21/2016,2,1
Graves Island,NS ,CANADA ,1,1,2,Full,CampsitePermit,Single Tent,8/18/2016,8/19/2016,1,1
The Islands,BC ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,8/7/2016,8/8/2016,1,1
Five Islands,NB ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,6/24/2016,6/25/2016,1,1
Five Islands,NB ,CANADA ,6,,6,Full,CampsitePermit,Tents,7/30/2016,8/1/2016,2,1
Salsman,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,8/7/2016,8/8/2016,1,1
Battery,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/31/2016,9/1/2016,1,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,8/7/2016,8/12/2016,5,1
Battery,ON ,CANADA ,2,1,3,Full,CampsitePermit,Less than 30ft,8/2/2016,8/3/2016,1,1
Five Islands,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,9/2/2016,9/3/2016,1,1
Rissers Beach,NS ,CANADA ,4,2,6,Full,CampsitePermit,Tents,7/29/2016,7/31/2016,2,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,9/9/2016,9/11/2016,2,1
The Islands,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,8/1/2016,8/2/2016,1,1
Five Islands,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,8/19/2016,8/20/2016,1,1
Porters Lake,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,8/2/2016,8/6/2016,4,1
Thomas Raddall,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,8/9/2016,8/15/2016,6,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,10/8/2016,10/10/2016,2,1
The Islands,NS ,CANADA ,4,,4,Full,CampsitePermit,Less than 20ft,7/28/2016,7/29/2016,1,1
Graves Island,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,9/17/2016,9/18/2016,1,1
Valleyview,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,8/5/2016,8/7/2016,2,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/4/2016,7/8/2016,4,1
Smileys,NS ,CANADA ,2,,2,Veteran,CampsitePermit,Less than 30ft,9/11/2016,9/12/2016,1,1
Salsman,ON ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,7/1/2016,7/2/2016,1,1
Whycocomagh,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/28/2016,7/29/2016,1,1
Rissers Beach,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/23/2016,7/25/2016,2,1
Ellenwood Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,6/30/2016,7/3/2016,3,1
Mira River,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 30ft,8/2/2016,8/5/2016,3,1
Thomas Raddall,NS ,CANADA ,4,2,6,Full,CampsitePermit,Tents,8/3/2016,8/5/2016,2,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,7/20/2016,7/22/2016,2,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,7/15/2016,7/17/2016,2,1
Five Islands,NB ,CANADA ,4,,4,Senior,CampsitePermit,Tents,7/8/2016,7/10/2016,2,1
Five Islands,AB ,CANADA ,2,,2,Senior,CampsitePermit,Single Tent,8/1/2016,8/3/2016,2,1
Thomas Raddall,ON ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,9/23/2016,9/24/2016,1,1
